Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     12.52     0.00   399980     0.00     0.00  std::enable_if<std::is_constructible<std::pair<int const, double>, std::pair<int, double> >::value, std::pair<std::_Rb_tree_iterator<std::pair<int const, double> >, bool> >::type std::map<int, double, std::less<int>, std::allocator<std::pair<int const, double> > >::insert<std::pair<int, double> >(std::pair<int, double>&&)
  0.00     12.52     0.00   399980     0.00     0.00  std::pair<int const, double>::pair<int, double, true>(std::pair<int, double>&&)
  0.00     12.52     0.00   399980     0.00     0.00  std::pair<std::_Rb_tree_node_base*, std::_Rb_tree_node_base*>::pair<std::_Rb_tree_node<std::pair<int const, double> >*&, std::_Rb_tree_node_base*&, true>(std::_Rb_tree_node<std::pair<int const, double> >*&, std::_Rb_tree_node_base*&)
  0.00     12.52     0.00   399980     0.00     0.00  std::pair<std::_Rb_tree_iterator<std::pair<int const, double> >, bool>::pair<std::_Rb_tree_iterator<std::pair<int const, double> >, bool, true>(std::_Rb_tree_iterator<std::pair<int const, double> >&&, bool&&)
  0.00     12.52     0.00   399980     0.00     0.00  std::pair<int, double>::pair<int&, double&, true>(int&, double&)
  0.00     12.52     0.00   399980     0.00     0.00  std::_Rb_tree_node<std::pair<int const, double> >* std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_clone_node<std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_Alloc_node>(std::_Rb_tree_node<std::pair<int const, double> > const*, std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_Alloc_node&)
  0.00     12.52     0.00   399980     0.00     0.00  std::_Rb_tree_node<std::pair<int const, double> >* std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_create_node<std::pair<int const, double> const&>(std::pair<int const, double> const&)
  0.00     12.52     0.00   399980     0.00     0.00  std::_Rb_tree_node<std::pair<int const, double> >* std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_create_node<std::pair<int, double> >(std::pair<int, double>&&)
  0.00     12.52     0.00   399980     0.00     0.00  std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_insert_node(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node<std::pair<int const, double> >*)
  0.00     12.52     0.00   399980     0.00     0.00  void std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_construct_node<std::pair<int const, double> const&>(std::_Rb_tree_node<std::pair<int const, double> >*, std::pair<int const, double> const&)
