Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     12.52     0.00  1999900     0.00     0.00  std::_Rb_tree_node<std::pair<int const, double> >::_M_valptr()
  0.00     12.52     0.00  1999900     0.00     0.00  std::pair<int const, double> const& std::forward<std::pair<int const, double> const&>(std::remove_reference<std::pair<int const, double> const&>::type&)
  0.00     12.52     0.00  1888206     0.00     0.00  std::_Rb_tree<int, std::pair<int const, unsigned int>, std::_Select1st<std::pair<int const, unsigned int> >, std::less<int>, std::allocator<std::pair<int const, unsigned int> > >::_S_left(std::_Rb_tree_node_base*)
  0.00     12.52     0.00  1699920     0.00     0.00  operator new(unsigned long, void*)
  0.00     12.52     0.00  1049940     0.00     0.00  Node::id() const
  0.00     12.52     0.00  1024546     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, double> >::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00     12.52     0.00   915999     0.00     0.00  std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_S_left(std::_Rb_tree_node_base*)
  0.00     12.52     0.00   849960     0.00     0.00  std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_end()
  0.00     12.52     0.00   799960     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<int const, double> > >::deallocate(std::_Rb_tree_node<std::pair<int const, double> >*, unsigned long)
  0.00     12.52     0.00   799960     0.00     0.00  void __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<int const, double> > >::destroy<std::pair<int const, double> >(std::pair<int const, double>*)
  0.00     12.52     0.00   799960     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<int const, double> > >::allocate(unsigned long, void const*)
  0.00     12.52     0.00   799960     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<int const, double> > >::max_size() const
  0.00     12.52     0.00   799960     0.00     0.00  std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<int const, double> > > >::deallocate(std::allocator<std::_Rb_tree_node<std::pair<int const, double> > >&, std::_Rb_tree_node<std::pair<int const, double> >*, unsigned long)
  0.00     12.52     0.00   799960     0.00     0.00  void std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<int const, double> > > >::destroy<std::pair<int const, double> >(std::allocator<std::_Rb_tree_node<std::pair<int const, double> > >&, std::pair<int const, double>*)
  0.00     12.52     0.00   799960     0.00     0.00  std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<int const, double> > > >::allocate(std::allocator<std::_Rb_tree_node<std::pair<int const, double> > >&, unsigned long)
  0.00     12.52     0.00   799960     0.00     0.00  std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_get_node()
  0.00     12.52     0.00   799960     0.00     0.00  std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_put_node(std::_Rb_tree_node<std::pair<int const, double> >*)
  0.00     12.52     0.00   799960     0.00     0.00  std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_drop_node(std::_Rb_tree_node<std::pair<int const, double> >*)
  0.00     12.52     0.00   799960     0.00     0.00  std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_M_destroy_node(std::_Rb_tree_node<std::pair<int const, double> >*)
  0.00     12.52     0.00   799932     0.00     0.00  __gnu_cxx::__normal_iterator<Node**, std::vector<Node*, std::allocator<Node*> > >::base() const
  0.00     12.52     0.00   699980     0.00     0.00  std::vector<Node*, std::allocator<Node*> >::operator[](unsigned long)
  0.00     12.52     0.00   646167     0.00     0.00  std::_Rb_tree<int, std::pair<int const, double>, std::_Select1st<std::pair<int const, double> >, std::less<int>, std::allocator<std::pair<int const, double> > >::_S_key(std::_Rb_tree_node_base const*)
  0.00     12.52     0.00   599962     0.00     0.00  std::_Rb_tree_iterator<std::pair<int const, unsigned int> >::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00     12.52     0.00   549960     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, unsigned int> >::_M_ptr()
